id,parent_id,create_uid,write_uid,name,complete_name,parent_path,product_properties_definition,create_date,write_date,property_account_income_categ_id,property_account_expense_categ_id,removal_strategy_id,packaging_reserve_method,property_valuation,property_cost_method,property_stock_journal,property_stock_account_input_categ_id,property_stock_account_output_categ_id,property_stock_valuation_account_id,property_account_creditor_price_difference_categ,property_account_downpayment_categ_id,property_stock_account_production_cost_id,usage_type,active,show_on_product,scgl_allow_sale,scgl_allow_purchase,scgl_allow_expense
115,81,2,2,4500-02 General Fee,ทั้งหมด / คชจ. / 4500 - ค่าธรรมเนียมและหนังสือค้ำประกัน / 4500-02 General Fee,1/3/81/115/,\N,2026-08-24 08:38:58.438531,2026-08-25 03:52:44.659347,\N,"{""1"": 189, ""2"": 75, ""3"": 113, ""4"": 151}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
119,83,2,2,4700-01 Tools - Stock Controlled,ทั้งหมด / คชจ. / 4700 - เครื่องมือและอุปกรณ์ / 4700-01 Tools - Stock Controlled,1/3/83/119/,\N,2026-08-24 08:38:59.379449,2026-08-25 03:52:59.262137,\N,"{""1"": 288, ""2"": 419, ""3"": 537, ""4"": 654}",\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 222, ""2"": 354, ""3"": 480, ""4"": 597}",\N,\N,\N,expense,t,t,t,t,t
120,83,2,2,4700-02 Tools - Direct Expense,ทั้งหมด / คชจ. / 4700 - เครื่องมือและอุปกรณ์ / 4700-02 Tools - Direct Expense,1/3/83/120/,\N,2026-08-24 08:38:59.679195,2026-08-25 03:53:03.605166,\N,"{""1"": 288, ""2"": 419, ""3"": 537, ""4"": 654}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
124,84,2,2,4800-03 Fixed Asset - IT / Office Equipment,ทั้งหมด / คชจ. / 4800 - ครุภัณฑ์และสินทรัพย์ / 4800-03 Fixed Asset - IT / Office Equipment,1/3/84/124/,\N,2026-08-24 08:39:00.502159,2026-08-25 03:53:18.029474,\N,"{""1"": 233, ""2"": 365, ""3"": 491, ""4"": 608}",\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
114,81,2,117,4500-01 Project Guarantee / Fee,ทั้งหมด / คชจ. / 4500 - ค่าธรรมเนียมและหนังสือค้ำประกัน / 4500-01 Project Guarantee / Fee,1/3/81/114/,\N,2026-08-24 08:38:58.206262,2026-08-25 12:24:14.940561,\N,"{""1"": 189, ""2"": 75, ""3"": 543, ""4"": 660}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
121,83,2,2,4700-03 Capital Tool / Equipment,ทั้งหมด / คชจ. / 4700 - เครื่องมือและอุปกรณ์ / 4700-03 Capital Tool / Equipment,1/3/83/121/,\N,2026-08-24 08:38:59.869517,2026-08-25 03:53:07.575853,\N,"{""1"": 234, ""2"": 366, ""3"": 492, ""4"": 609}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
122,84,2,2,4800-01 Fixed Asset - Vehicle,ทั้งหมด / คชจ. / 4800 - ครุภัณฑ์และสินทรัพย์ / 4800-01 Fixed Asset - Vehicle,1/3/84/122/,\N,2026-08-24 08:39:00.08462,2026-08-25 03:53:10.459832,\N,"{""1"": 232, ""2"": 364, ""3"": 490, ""4"": 607}",\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
123,84,2,2,4800-02 Fixed Asset - Machinery,ทั้งหมด / คชจ. / 4800 - ครุภัณฑ์และสินทรัพย์ / 4800-02 Fixed Asset - Machinery,1/3/84/123/,\N,2026-08-24 08:39:00.285678,2026-08-25 03:53:14.51538,\N,"{""1"": 231, ""2"": 363, ""3"": 490, ""4"": 607}",\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
61,55,1,2,075 - Quality Testing (ค่าทดสอบคุณภาพ),ทั้งหมด / คชจ. / 07 - รับเหมา / 075 - Quality Testing (ค่าทดสอบคุณภาพ),1/3/55/61/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
62,1,1,2,การจัดส่ง,ทั้งหมด / การจัดส่ง,1/62/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:27:01.837711,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
