id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
521,15,518,1,1,505/518/521/,\N,"ir.actions.act_window,869","{""en_US"": ""Stages"", ""th_TH"": ""สถานะ""}",t,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
458,99,455,1,1,455/458/,\N,\N,"{""en_US"": ""Configuration"", ""th_TH"": ""การกำหนดค่า""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
460,2,458,1,1,455/458/460/,\N,"ir.actions.act_window,735","{""en_US"": ""Favorites"", ""th_TH"": ""รายการโปรด""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
456,1,455,1,1,455/456/,\N,"ir.actions.server,725","{""en_US"": ""Home"", ""th_TH"": ""หน้าแรก""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
455,17,\N,1,1,455/,"knowledge,static/description/icon.png",\N,"{""en_US"": ""Knowledge"", ""th_TH"": ""ความรู้""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
463,10,8,1,1,1/8/463/,\N,\N,"{""en_US"": ""Knowledge"", ""th_TH"": ""ความรู้""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
459,1,458,1,1,455/458/459/,\N,"ir.actions.act_window,736","{""en_US"": ""Members"", ""th_TH"": ""สมาชิก""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
457,2,455,1,1,455/457/,\N,"ir.actions.act_window,728","{""en_US"": ""Search"", ""th_TH"": ""ค้นหา""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
462,4,458,1,1,455/458/462/,\N,"ir.actions.act_window,737","{""en_US"": ""Stages"", ""th_TH"": ""สถานะ""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
465,5,463,1,1,1/8/463/465/,\N,"ir.actions.act_window,739","{""en_US"": ""Template Categories"", ""th_TH"": ""หมวดหมู่เทมเพลต""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
466,6,463,1,1,1/8/463/466/,\N,"ir.actions.act_window,738","{""en_US"": ""Template Stages"", ""th_TH"": ""ขั้นตอนเทมเพลต""}",t,2026-08-18 09:28:02.004491,2026-08-18 09:28:02.004491,\N
