id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1062,947,71,1,1,pos.prep.display,t,t,f,f,f,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1063,949,71,1,1,pos.preparation.display.reset.wizard,t,t,t,t,t,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1064,950,71,1,1,access.preparation.time.report,t,t,f,f,f,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1065,433,72,1,1,crm.team.pos.manager,t,t,t,t,t,2026-03-30 06:57:54.559419,2026-03-30 06:57:54.559419
1066,959,75,1,1,mrp.workcenter.productivity.loss,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1067,959,74,1,1,mrp.workcenter.productivity.loss,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1068,958,74,1,1,mrp.workcenter.productivity.loss.type,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1069,960,74,1,1,mrp.workcenter.productivity,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1070,956,74,1,1,mrp.workcenter,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1071,955,74,1,1,mrp.routing.workcenter,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1072,952,74,1,1,mrp.bom,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1073,953,74,1,1,mrp.bom.line,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1074,954,74,1,1,mrp.bom.byproduct,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1075,963,74,1,1,mrp.production user,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1076,962,74,1,1,access_mrp_production_group,t,t,t,t,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1077,956,75,1,1,mrp.workcenter.manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1078,955,75,1,1,mrp.routing.workcenter.manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1079,952,75,1,1,mrp.bom.manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1080,953,75,1,1,mrp.bom.line.manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1081,954,75,1,1,mrp.bom.byproduct manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1082,963,44,1,1,mrp.production stock_worker,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1083,407,74,1,1,product.product user,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1084,406,74,1,1,product.template user,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1085,149,74,1,1,uom.uom user,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1086,90,74,1,1,res.partner,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1087,965,74,1,1,mrp.workorder.user,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1088,965,75,1,1,mrp.workorder,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1089,156,74,1,1,mrp.resource.calendar.leaves.user,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1090,156,75,1,1,mrp.resource.calendar.leaves.manager,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1091,155,74,1,1,mrp.resource.calendar.attendance.mrp.user,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1092,155,75,1,1,mrp.resource.calendar.attendance.manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1093,158,74,1,1,resource.resource,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1094,158,75,1,1,resource.resource.manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1095,418,75,1,1,product.supplierinfo user,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1096,963,75,1,1,mrp.production manager,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1097,952,44,1,1,mrp.bom,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1098,953,44,1,1,mrp.bom.line,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1099,90,75,1,1,res_partner group_mrp_manager,t,t,t,t,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1100,417,75,1,1,product.pricelist.item mrp_manager,t,t,t,t,t,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
1101,154,74,1,1,resource.calendar manufacturing.user,t,t,f,f,f,2026-03-30 07:52:50.018059,2026-03-30 07:52:50.018059
