id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
185,642,1,1,CRM Lead Multi-Company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
186,184,1,1,Manager can manage lead plans,"[('res_model', '=', 'crm.lead')]",t,f,t,t,t,f,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
187,185,1,1,Manager can manage lead plan templates,"[('plan_id.res_model', '=', 'crm.lead')]",t,f,t,t,t,f,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
188,446,1,1,SMS Template: sale manager CUD on opportunity / partner templates,"[('model_id.model', 'in', ('crm.lead', 'res.partner'))]",t,f,t,t,t,f,2026-03-18 05:05:41.444506,2026-03-18 05:05:41.444506
189,654,1,1,Account Asset multi-company,"[('company_id', 'parent_of', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:08.496909,2026-03-18 05:30:08.496909
190,655,1,1,Account Asset Group multi-company,"[('company_id', 'parent_of', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:08.496909,2026-03-18 05:30:08.496909
192,661,1,1,Account Loan Line multi-company,"[('company_id', 'parent_of', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:16.035455,2026-03-29 06:25:03.365038
193,677,1,1,stock_picking multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
194,676,1,1,Stock Operation Type multi-company,"[('company_id','in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
195,668,1,1,Stock Operation Type multi-company,"[('company_id','in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
166,446,1,1,SMS Template: sale manager CUD on sale orders,"[('model_id.model', 'in', ('sale.order', 'res.partner'))]",t,f,t,t,t,f,2026-03-18 05:04:40.388596,2026-03-29 06:23:52.899966
196,675,1,1,Stock Production Lot multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
197,681,1,1,Warehouse multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
198,669,1,1,Location multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
199,671,1,1,stock_move multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
200,672,1,1,stock_move_line multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
