menu_id	depth	is_leaf	children	opens	path
128	4	1	0	ir.actions.act_window,166	Settings / Technical / Calendar / Calendar Alarm
127	4	1	0	ir.actions.act_window,165	Settings / Technical / Calendar / Meeting Types
11	3	0	10		Settings / Technical / Database Structure
26	4	1	0	ir.actions.act_window,14	Settings / Technical / Database Structure / Assets
40	4	1	0	ir.actions.act_window,27	Settings / Technical / Database Structure / Attachments
17	4	1	0	ir.actions.act_window,5	Settings / Technical / Database Structure / Decimal Accuracy
33	4	1	0	ir.actions.act_window,21	Settings / Technical / Database Structure / Fields
34	4	1	0	ir.actions.act_window,22	Settings / Technical / Database Structure / Fields Selection
47	4	1	0	ir.actions.act_window,38	Settings / Technical / Database Structure / Logging
38	4	1	0	ir.actions.act_window,25	Settings / Technical / Database Structure / ManyToMany Relations
37	4	1	0	ir.actions.act_window,24	Settings / Technical / Database Structure / Model Constraints
32	4	1	0	ir.actions.act_window,20	Settings / Technical / Database Structure / Models
57	4	1	0	ir.actions.act_window,52	Settings / Technical / Database Structure / Profiling
99	3	0	17		Settings / Technical / Discuss
106	4	1	0	ir.actions.act_window,151	Settings / Technical / Discuss / Email Blacklist
105	4	1	0	ir.actions.act_window,116	Settings / Technical / Discuss / Followers
113	4	1	0	ir.actions.act_window,121	Settings / Technical / Discuss / GIF favorite
108	4	1	0	ir.actions.act_window,145	Settings / Technical / Discuss / Guests
110	4	1	0	ir.actions.act_window,117	Settings / Technical / Discuss / ICE Servers
112	4	1	0	ir.actions.act_window,120	Settings / Technical / Discuss / Link Previews
683	4	1	0	ir.actions.act_window,1054	Settings / Technical / Discuss / Mail Groups
111	4	1	0	ir.actions.act_window,146	Settings / Technical / Discuss / Message Reactions
100	4	1	0	ir.actions.act_window,112	Settings / Technical / Discuss / Messages
684	4	1	0	ir.actions.act_window,1053	Settings / Technical / Discuss / Moderation Rules
104	4	1	0	ir.actions.act_window,111	Settings / Technical / Discuss / Notifications
109	4	1	0	ir.actions.act_window,119	Settings / Technical / Discuss / RTC sessions
303	4	1	0	ir.actions.act_window,427	Settings / Technical / Discuss / Ratings
101	4	1	0	ir.actions.act_window,113	Settings / Technical / Discuss / Scheduled Messages
102	4	1	0	ir.actions.act_window,109	Settings / Technical / Discuss / Subtypes
103	4	1	0	ir.actions.act_window,110	Settings / Technical / Discuss / Tracking Values
107	4	1	0	ir.actions.act_window,148	Settings / Technical / Discuss / User Settings
10	3	0	12		Settings / Technical / Email
93	4	1	0	ir.actions.act_window,142	Settings / Technical / Email / Alias Domains
92	4	1	0	ir.actions.act_window,143	Settings / Technical / Email / Aliases
96	4	1	0	ir.actions.act_window,122	Settings / Technical / Email / Channels
97	4	1	0	ir.actions.act_window,118	Settings / Technical / Email / Channels/Members
148	4	1	0	ir.actions.act_window,225	Settings / Technical / Email / Digest Emails
149	4	1	0	ir.actions.act_window,226	Settings / Technical / Email / Digest Tips
95	4	1	0	ir.actions.act_window,149	Settings / Technical / Email / Email Templates
91	4	1	0	ir.actions.act_window,114	Settings / Technical / Email / Emails
94	4	1	0	ir.actions.act_window,108	Settings / Technical / Email / Incoming Mail Servers
98	4	1	0	ir.actions.act_window,144	Settings / Technical / Email / Mail Gateway Allowed
31	4	1	0	ir.actions.act_window,19	Settings / Technical / Email / Outgoing Mail Servers
147	4	1	0	ir.actions.act_window,223	Settings / Technical / Email / Snailmail Letters
70	3	0	2		Settings / Technical / IAP
71	4	1	0	ir.actions.act_window,89	Settings / Technical / IAP / IAP Accounts
682	4	1	0	ir.actions.act_window,1045	Settings / Technical / IAP / IAP Partners
14	3	0	1		Settings / Technical / Parameters
27	4	1	0	ir.actions.act_window,15	Settings / Technical / Parameters / System Parameters
141	4	0	3		Settings / Technical / Phone / SMS
142	5	1	0	ir.actions.act_window,171	Settings / Technical / Phone / SMS / Phone Blacklist
145	5	1	0	ir.actions.act_window,219	Settings / Technical / Phone / SMS / SMS
146	5	1	0	ir.actions.act_window,221	Settings / Technical / Phone / SMS / SMS Templates
143	3	0	1		Settings / Technical / Privacy
144	4	1	0	ir.actions.act_window,176	Settings / Technical / Privacy / Privacy Logs
64	3	0	2		Settings / Technical / Reporting
65	4	1	0	ir.actions.act_window,76	Settings / Technical / Reporting / Paper Format
66	4	1	0	ir.actions.act_window,77	Settings / Technical / Reporting / Reports
74	3	0	3		Settings / Technical / Resource
76	4	1	0	ir.actions.act_window,95	Settings / Technical / Resource / Resource Time Off
77	4	1	0	ir.actions.act_window,93	Settings / Technical / Resource / Resources
75	4	1	0	ir.actions.act_window,99	Settings / Technical / Resource / Working Schedules
13	3	0	3		Settings / Technical / Security
39	4	1	0	ir.actions.act_window,26	Settings / Technical / Security / Access Rights
41	4	1	0	ir.actions.act_window,28	Settings / Technical / Security / Record Rules
63	4	1	0	ir.actions.act_window,74	Settings / Technical / Security / User Devices
35	3	0	2		Settings / Technical / Sequences & Identifiers
36	4	1	0	ir.actions.act_window,23	Settings / Technical / Sequences & Identifiers / External Identifiers
42	4	1	0	ir.actions.act_window,29	Settings / Technical / Sequences & Identifiers / Sequences
9	3	0	7		Settings / Technical / User Interface
45	4	1	0	ir.actions.act_window,33	Settings / Technical / User Interface / Customized Views
43	4	1	0	ir.actions.act_window,30	Settings / Technical / User Interface / Menu Items
72	4	1	0	ir.actions.act_window,91	Settings / Technical / User Interface / Onboardings
