id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1788,1251,153,1,1,hr.payslip.input.user,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1789,1252,153,1,1,hr.payslip.input.type.user,t,t,f,f,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1790,1252,154,1,1,hr.payslip.input.type.manager,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1791,1250,153,1,1,hr.payslip.worked_days.officer,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1792,1253,153,1,1,hr.payslip.run,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1793,1246,153,1,1,hr.salary.rule.user,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1794,1240,154,1,1,access_hr_work_entry_type_manager,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1795,1255,154,1,1,access_hr_rule_parameter_manager,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1796,1255,65,1,1,access_hr_rule_parameter_user,t,t,f,f,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1797,1254,154,1,1,access_hr_rule_parameter_value_manager,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1798,1254,65,1,1,access_hr_rule_parameter_value_user,t,t,f,f,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1799,744,153,1,1,hr.payroll.structure.type,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1800,1266,66,1,1,access.hr.payroll.index,t,t,t,t,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1801,1272,153,1,1,hr.work.entry.report,t,t,f,f,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1802,1267,153,1,1,access.hr.payroll.edit.payslip.lines.wizard,t,t,t,t,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1803,1268,153,1,1,access.hr.payroll.edit.payslip.line,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1804,1269,153,1,1,access.hr.payroll.edit.payslip.worked.days.line,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1805,1256,153,1,1,hr.salary.attachment,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1806,1257,153,1,1,hr.payroll.note,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1807,1258,153,1,1,access_hr_payroll_employee_declaration,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1808,1243,153,1,1,access_hr_payroll_dashboard_warning_user,t,t,f,f,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1809,1243,154,1,1,access_hr_payroll_dashboard_warning_manager,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1810,1270,153,1,1,hr.payroll.payment.report.wizard,t,t,t,t,f,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1811,1260,153,1,1,access_hr_payroll_headcount,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1812,1261,153,1,1,access_hr_payroll_headcount_line,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1813,1262,153,1,1,access_hr_payroll_headcount_working_rate,t,t,f,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1814,1265,153,1,1,access_hr_salary_rule_section,t,t,t,t,t,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
1815,1274,157,1,1,frontdesk.frontdesk,t,t,t,t,t,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898
1816,1275,157,1,1,frontdesk.visitor,t,t,t,t,t,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898
1817,1276,157,1,1,frontdesk.drink,t,t,t,t,t,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898
1818,1274,156,1,1,frontdesk.frontdesk,t,t,t,f,f,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898
1819,1275,156,1,1,frontdesk.visitor,t,t,t,t,f,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898
1820,1276,156,1,1,frontdesk.drink,t,t,f,f,f,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898
1821,1277,1,1,1,access.link.tracker.user,t,t,f,f,f,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1773,1237,151,1,1,access_esg_employee_commuting_report,t,t,f,f,f,2026-02-09 14:42:46.809061,2026-03-13 18:57:26.937023
1774,1238,151,1,1,access_employee_commuting_emissions_wizard,t,t,t,t,f,2026-02-09 14:42:46.809061,2026-03-13 18:57:26.937023
1822,1277,11,1,1,access.link.tracker.public,t,f,f,f,f,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1823,1277,4,1,1,access.link.tracker.system,t,t,t,t,t,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1824,1278,1,1,1,access.link.tracker.code.user,t,t,f,f,f,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1825,1278,11,1,1,access.link.tracker.code.public,t,f,f,f,f,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1826,1278,4,1,1,access.link.tracker.code.system,t,t,t,t,t,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1827,1279,1,1,1,access.link.tracker.click.user,t,t,f,f,f,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1828,1279,11,1,1,access.link.tracker.click.public,t,f,f,f,f,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1829,1279,4,1,1,access.link.tracker.click.system,t,t,t,t,t,2026-02-09 14:45:15.022499,2026-02-09 14:45:15.022499
1830,1277,97,1,1,link.tracker,t,t,t,t,t,2026-02-09 14:45:20.700526,2026-02-09 14:45:20.700526
1831,1278,97,1,1,link.tracker.code,t,t,t,t,t,2026-02-09 14:45:20.700526,2026-02-09 14:45:20.700526
1832,1279,97,1,1,link.tracker.click,t,t,t,t,t,2026-02-09 14:45:20.700526,2026-02-09 14:45:20.700526
1833,1280,158,1,1,hr.referral.points.referral.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1834,1280,104,1,1,hr.referral.points.interviewer,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1835,1280,159,1,1,hr.referral.points,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1836,1046,158,1,1,hr.recruitment.stage.referral.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1837,1282,158,1,1,hr.referral.reward.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1838,1282,160,1,1,hr.referral.reward.recruitment.user,t,t,t,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1839,1282,159,1,1,hr.referral.reward.admin,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1840,1281,159,1,1,hr.referral.alert.admin,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1841,1281,158,1,1,hr.referral.alert.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1842,1286,159,1,1,hr.referral.report,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
