source_table,constraint,source_column,target_table,target_column
account_auto_reconcile_wizard_account_move_line_rel,account_auto_reconcile_wizard_account_account_move_line_id_fkey,account_move_line_id,account_move_line,id
account_auto_reconcile_wizard_account_move_line_rel,account_auto_reconcile_wizard_account_auto_reconcile_wizar_fkey,account_auto_reconcile_wizard_id,account_auto_reconcile_wizard,id
account_auto_reconcile_wizard,account_auto_reconcile_wizard_company_id_fkey,company_id,res_company,id
account_auto_reconcile_wizard,account_auto_reconcile_wizard_create_uid_fkey,create_uid,res_users,id
account_auto_reconcile_wizard_res_partner_rel,account_auto_reconcile_wizard_res_partner_r_res_partner_id_fkey,res_partner_id,res_partner,id
account_auto_reconcile_wizard,account_auto_reconcile_wizard_write_uid_fkey,write_uid,res_users,id
account_automatic_entry_wizard_account_move_line_rel,account_automatic_entry_wizar_account_automatic_entry_wiza_fkey,account_automatic_entry_wizard_id,account_automatic_entry_wizard,id
account_automatic_entry_wizard_account_move_line_rel,account_automatic_entry_wizard_accoun_account_move_line_id_fkey,account_move_line_id,account_move_line,id
account_automatic_entry_wizard,account_automatic_entry_wizard_company_id_fkey,company_id,res_company,id
account_automatic_entry_wizard,account_automatic_entry_wizard_create_uid_fkey,create_uid,res_users,id
account_automatic_entry_wizard,account_automatic_entry_wizard_destination_account_id_fkey,destination_account_id,account_account,id
account_automatic_entry_wizard,account_automatic_entry_wizard_write_uid_fkey,write_uid,res_users,id
account_autopost_bills_wizard,account_autopost_bills_wizard_create_uid_fkey,create_uid,res_users,id
account_autopost_bills_wizard,account_autopost_bills_wizard_partner_id_fkey,partner_id,res_partner,id
account_autopost_bills_wizard,account_autopost_bills_wizard_write_uid_fkey,write_uid,res_users,id
account_bank_selection,account_bank_selection_account_online_link_id_fkey,account_online_link_id,account_online_link,id
account_bank_selection,account_bank_selection_create_uid_fkey,create_uid,res_users,id
account_bank_selection,account_bank_selection_selected_account_fkey,selected_account,account_online_account,id
account_bank_selection,account_bank_selection_write_uid_fkey,write_uid,res_users,id
account_bank_statement,account_bank_statement_company_id_fkey,company_id,res_company,id
account_bank_statement,account_bank_statement_create_uid_fkey,create_uid,res_users,id
account_bank_statement,account_bank_statement_currency_id_fkey,currency_id,res_currency,id
account_bank_statement_ir_attachment_rel,account_bank_statement_ir_attach_account_bank_statement_id_fkey,account_bank_statement_id,account_bank_statement,id
account_bank_statement_ir_attachment_rel,account_bank_statement_ir_attachment_rel_ir_attachment_id_fkey,ir_attachment_id,ir_attachment,id
account_bank_statement,account_bank_statement_journal_id_fkey,journal_id,account_journal,id
account_bank_statement_line,account_bank_statement_line_company_id_fkey,company_id,res_company,id
account_bank_statement_line,account_bank_statement_line_create_uid_fkey,create_uid,res_users,id
account_bank_statement_line,account_bank_statement_line_currency_id_fkey,currency_id,res_currency,id
account_bank_statement_line,account_bank_statement_line_foreign_currency_id_fkey,foreign_currency_id,res_currency,id
account_bank_statement_line,account_bank_statement_line_journal_id_fkey,journal_id,account_journal,id
account_bank_statement_line,account_bank_statement_line_message_main_attachment_id_fkey,message_main_attachment_id,ir_attachment,id
