id,product_id,company_id,location_id,lot_id,package_id,owner_id,user_id,create_uid,write_uid,inventory_date,quantity,reserved_quantity,inventory_quantity,inventory_diff_quantity,inventory_quantity_set,in_date,create_date,write_date,accounting_date,expiration_date,removal_date
132472,1920,1,5,\N,\N,\N,\N,2,46,2026-12-31,1.00,0.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
132473,1917,1,5,\N,\N,\N,\N,2,46,2026-12-31,4.00,0.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
132481,1915,1,5,\N,\N,\N,\N,2,46,2026-12-31,3.00,0.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
132482,1913,1,5,\N,\N,\N,\N,2,46,2026-12-31,2.00,0.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
131032,338,1,5,\N,\N,\N,\N,2,46,2026-12-31,111.00,1.00,0.00,0.00,f,2026-06-26 06:37:12,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
131079,2234,1,5,\N,\N,\N,\N,2,46,2026-12-31,11.00,1.00,0.00,0.00,f,2026-06-26 06:37:12,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
130709,2194,1,5,\N,\N,\N,\N,2,46,2026-12-31,13.00,5.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
131075,2230,1,5,\N,\N,\N,\N,2,46,2026-12-31,25.00,3.00,0.00,0.00,f,2026-06-26 06:37:12,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
130957,2222,1,5,\N,\N,\N,\N,2,46,2026-12-31,11.00,2.00,0.00,0.00,f,2026-06-26 06:37:12,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
132474,1914,1,5,\N,\N,\N,\N,2,46,2026-12-31,3.00,1.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
132479,1912,1,5,\N,\N,\N,\N,2,46,2026-12-31,10.00,2.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
132493,1931,1,5,\N,\N,\N,\N,2,46,2026-12-31,46.00,1.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
130771,936,1,5,\N,\N,\N,\N,2,46,2026-12-31,13.00,4.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
132477,1904,1,5,\N,\N,\N,\N,2,46,2026-12-31,7.00,1.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
132494,1930,1,5,\N,\N,\N,\N,2,46,2026-12-31,21.00,4.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
130722,2017,1,5,\N,\N,\N,\N,2,46,2026-12-31,12.00,2.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
130324,1528,1,5,\N,\N,\N,\N,2,2,2026-12-31,255.00,81.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-08-02 04:07:00.589222,\N,\N,\N
130288,997,1,5,\N,\N,\N,\N,2,46,2026-12-31,16.00,3.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
131153,2390,1,5,\N,\N,\N,\N,2,46,2026-12-31,149.00,2.00,0.00,0.00,f,2026-06-26 06:37:12,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
130772,932,1,5,\N,\N,\N,\N,2,46,2026-12-31,21.00,3.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
130713,2026,1,5,\N,\N,\N,\N,2,46,2026-12-31,17.00,6.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
130241,1831,1,5,\N,\N,\N,\N,2,2,2026-12-31,28.00,10.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-02 12:06:36.615723,\N,\N,\N
