evidence,module,path,records,views_hint,actions_hint,menus,security_hint
01 ACCOUNT.zip,account_fiscal_categories_fleet,01 ACCOUNT/account_fiscal_categories_fleet/views/fleet_vehicle_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_asset_fleet,01 ACCOUNT/account_asset_fleet/views/account_move_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_asset_fleet,01 ACCOUNT/account_asset_fleet/views/account_asset_views.xml,1,2,0,0,0
01 ACCOUNT.zip,accountant_fleet,01 ACCOUNT/accountant_fleet/data/account_return_check_template.xml,1,0,0,0,0
01 ACCOUNT.zip,accountant_fleet,01 ACCOUNT/accountant_fleet/views/accountant_fleet_menuitem.xml,0,0,0,1,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/wizard/account_import_summary_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/wizard/setup_wizards_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/views/account_move_views.xml,1,0,0,0,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/views/account_asset_views.xml,1,0,0,0,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/views/res_partner_views.xml,1,0,0,0,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/views/account_account_views.xml,2,2,0,0,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/views/account_import_views.xml,2,0,1,0,0
01 ACCOUNT.zip,account_base_import,01 ACCOUNT/account_base_import/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_external_tax,01 ACCOUNT/account_external_tax/views/account_move_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_online_payment,01 ACCOUNT/account_online_payment/data/actions.xml,2,0,1,0,0
01 ACCOUNT.zip,account_online_payment,01 ACCOUNT/account_online_payment/data/activation_mail_template.xml,1,0,0,0,0
01 ACCOUNT.zip,account_online_payment,01 ACCOUNT/account_online_payment/data/success_mail_template.xml,1,0,0,0,0
01 ACCOUNT.zip,account_online_payment,01 ACCOUNT/account_online_payment/views/account_batch_payment_views.xml,2,4,0,0,0
01 ACCOUNT.zip,account_online_payment,01 ACCOUNT/account_online_payment/views/account_online_link_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_edi_ubl_cii,01 ACCOUNT/account_edi_ubl_cii/report/account_edi_ubl_cii_report_templates.xml,1,0,1,0,0
01 ACCOUNT.zip,account_edi_ubl_cii,01 ACCOUNT/account_edi_ubl_cii/data/ir_config_parameter_data.xml,1,0,0,0,0
01 ACCOUNT.zip,account_edi_ubl_cii,01 ACCOUNT/account_edi_ubl_cii/views/account_move_views.xml,1,0,1,0,0
01 ACCOUNT.zip,account_edi_ubl_cii,01 ACCOUNT/account_edi_ubl_cii/views/res_partner_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_edi_ubl_cii,01 ACCOUNT/account_edi_ubl_cii/views/account_tax_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_edi_proxy_client,01 ACCOUNT/account_edi_proxy_client/security/account_edi_proxy_client_security.xml,1,0,0,0,1
01 ACCOUNT.zip,account_edi_proxy_client,01 ACCOUNT/account_edi_proxy_client/views/account_edi_proxy_user_views.xml,3,4,1,1,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/demo/account_demo.xml,13,0,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/security/account_security.xml,43,0,0,0,40
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_automatic_entry_wizard_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_validate_move_view.xml,2,2,1,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/accrued_orders.xml,1,2,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_unreconcile_view.xml,1,0,1,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_autopost_bills_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_resequence_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_payment_register_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_move_reversal_view.xml,2,2,1,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_move_send_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_secure_entries_wizard.xml,2,2,1,1,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_move_send_batch_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/account_merge_wizard_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/wizard/setup_wizards_view.xml,4,8,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/report/account_invoice_report_view.xml,11,8,2,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/data/res_country_group.xml,2,0,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/data/service_cron.xml,2,0,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/data/account_data.xml,21,0,2,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/data/mail_template_data.xml,7,0,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/data/ir_sequence.xml,1,0,0,0,0
01 ACCOUNT.zip,account,01 ACCOUNT/account/data/account_reports_data.xml,9,0,0,0,0
