table,columns,reference_table,constraint,definition
account_analytic_line,user_id,res_users,account_analytic_line_user_id_fkey,FOREIGN KEY (user_id) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_line,write_uid,res_users,account_analytic_line_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_line,global_leave_id,resource_calendar_leaves,account_analytic_line_global_leave_id_fkey,FOREIGN KEY (global_leave_id) REFERENCES public.resource_calendar_leaves(id) ON DELETE CASCADE
account_analytic_line,order_id,sale_order,account_analytic_line_order_id_fkey,FOREIGN KEY (order_id) REFERENCES public.sale_order(id) ON DELETE SET NULL
account_analytic_line,so_line,sale_order_line,account_analytic_line_so_line_fkey,FOREIGN KEY (so_line) REFERENCES public.sale_order_line(id) ON DELETE SET NULL
account_analytic_line,product_uom_id,uom_uom,account_analytic_line_product_uom_id_fkey,FOREIGN KEY (product_uom_id) REFERENCES public.uom_uom(id) ON DELETE SET NULL
account_analytic_line_calendar_employee,employee_id,hr_employee,account_analytic_line_calendar_employee_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES public.hr_employee(id) ON DELETE SET NULL
account_analytic_line_calendar_employee,create_uid,res_users,account_analytic_line_calendar_employee_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_line_calendar_employee,user_id,res_users,account_analytic_line_calendar_employee_user_id_fkey,FOREIGN KEY (user_id) REFERENCES public.res_users(id) ON DELETE CASCADE
account_analytic_line_calendar_employee,write_uid,res_users,account_analytic_line_calendar_employee_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_line_hr_timesheet_merge_wizard_rel,account_analytic_line_id,account_analytic_line,account_analytic_line_hr_timeshee_account_analytic_line_id_fkey,FOREIGN KEY (account_analytic_line_id) REFERENCES public.account_analytic_line(id) ON DELETE CASCADE
account_analytic_line_hr_timesheet_merge_wizard_rel,hr_timesheet_merge_wizard_id,hr_timesheet_merge_wizard,account_analytic_line_hr_time_hr_timesheet_merge_wizard_id_fkey,FOREIGN KEY (hr_timesheet_merge_wizard_id) REFERENCES public.hr_timesheet_merge_wizard(id) ON DELETE CASCADE
account_analytic_line_mrp_workorder_rel,account_analytic_line_id,account_analytic_line,account_analytic_line_mrp_workord_account_analytic_line_id_fkey,FOREIGN KEY (account_analytic_line_id) REFERENCES public.account_analytic_line(id) ON DELETE CASCADE
account_analytic_line_mrp_workorder_rel,mrp_workorder_id,mrp_workorder,account_analytic_line_mrp_workorder_rel_mrp_workorder_id_fkey,FOREIGN KEY (mrp_workorder_id) REFERENCES public.mrp_workorder(id) ON DELETE CASCADE
account_analytic_line_stock_move_rel,account_analytic_line_id,account_analytic_line,account_analytic_line_stock_move__account_analytic_line_id_fkey,FOREIGN KEY (account_analytic_line_id) REFERENCES public.account_analytic_line(id) ON DELETE CASCADE
account_analytic_line_stock_move_rel,stock_move_id,stock_move,account_analytic_line_stock_move_rel_stock_move_id_fkey,FOREIGN KEY (stock_move_id) REFERENCES public.stock_move(id) ON DELETE CASCADE
account_analytic_plan,parent_id,account_analytic_plan,account_analytic_plan_parent_id_fkey,FOREIGN KEY (parent_id) REFERENCES public.account_analytic_plan(id) ON DELETE CASCADE
account_analytic_plan,create_uid,res_users,account_analytic_plan_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
