area,technical_name,manifest_file,name,version,license,category,author,website,installable,application,auto_install,depends_count,depends,summary,parse_error
02_OTHER,payment_mollie,__manifest__.py,Payment Provider: Mollie,1.0,LGPL-3,Accounting/Payment Providers,"Odoo S.A., Applix BV, Droggol Infotech Pvt. Ltd.",https://www.mollie.com,True,False,False,1,payment,A Dutch payment provider covering several European countries.,
02_OTHER,payment_nuvei,__manifest__.py,Payment Provider: Nuvei,,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider covering Latin America.,
02_OTHER,payment_paymob,__manifest__.py,Payment Provider: Paymob,1.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,An Egyptian payment provider for the Middle East.,
02_OTHER,payment_paypal,__manifest__.py,Payment Provider: Paypal,2.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,An American payment provider for online payments all over the world.,
02_OTHER,payment_razorpay,__manifest__.py,Payment Provider: Razorpay,1.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider covering India.,
02_OTHER,payment_redsys,__manifest__.py,Payment Provider: Redsys,,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider covering the Spanish market.,
02_OTHER,payment_sepa_direct_debit,__manifest__.py,Payment Provider: Sepa Direct Debit,2.0,OEEL-1,Accounting/Accounting,Odoo S.A.,,True,False,False,3,account_sepa_direct_debit;account_payment;payment_custom,A payment provider for enabling Sepa Direct Debit in the EU.,
02_OTHER,payment_stripe,__manifest__.py,Payment Provider: Stripe,2.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,An Irish-American payment provider covering the US and many others.,
02_OTHER,payment_toss_payments,__manifest__.py,Payment Provider: Toss Payments,,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider covering the South Korea market,
02_OTHER,payment_worldline,__manifest__.py,Payment Provider: Worldline,,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A French payment provider covering several European countries.,
02_OTHER,payment_xendit,__manifest__.py,Payment Provider: Xendit,1.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider for Indonesian and the Philippines.,
02_OTHER,phone_validation,__manifest__.py,Phone Numbers Validation,2.1,LGPL-3,Hidden,Odoo S.A.,,True,False,True,2,base;mail,Validate and format phone numbers,
02_OTHER,planning,__manifest__.py,Planning,1.0,OEEL-1,Human Resources/Planning,Odoo S.A.,,True,True,False,4,hr;hr_hourly_cost;web_gantt;digest,Manage your employees' schedule,
02_OTHER,planning_attendance,__manifest__.py,Planning and Attendances,1.0,OEEL-1,Hidden,Odoo S.A.,,True,False,True,2,planning;hr_attendance,Compare plannings and attendances,
02_OTHER,planning_holidays,__manifest__.py,Planning Time Off,1.0,OEEL-1,Human Resources/Planning,Odoo S.A.,,True,False,True,2,planning;hr_holidays_gantt,Planning integration with holidays,
02_OTHER,planning_hr_skills,__manifest__.py,Planning - Skills,1.0,OEEL-1,Human Resources/Planning,Odoo S.A.,,True,False,True,2,planning;hr_skills,Planning Skills,
