id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
32,10,11,1,1,1/8/11/32/,\N,"ir.actions.act_window,20","{""en_US"": ""Models"", ""th_TH"": ""โมเดล""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
33,10,11,1,1,1/8/11/33/,\N,"ir.actions.act_window,21","{""en_US"": ""Fields"", ""th_TH"": ""ฟิลด์""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
34,10,11,1,1,1/8/11/34/,\N,"ir.actions.act_window,22","{""en_US"": ""Fields Selection"", ""th_TH"": ""การเลือกฟิลด์""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
35,21,8,1,1,1/8/35/,\N,\N,"{""en_US"": ""Sequences & Identifiers"", ""th_TH"": ""ลำดับและตัวบ่งชี้""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
36,10,35,1,1,1/8/35/36/,\N,"ir.actions.act_window,23","{""en_US"": ""External Identifiers"", ""th_TH"": ""ตัวระบุภายนอก""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
37,10,11,1,1,1/8/11/37/,\N,"ir.actions.act_window,24","{""en_US"": ""Model Constraints"", ""th_TH"": ""ข้อจำกัดโมเดล""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
38,10,11,1,1,1/8/11/38/,\N,"ir.actions.act_window,25","{""en_US"": ""ManyToMany Relations"", ""th_TH"": ""ความสัมพันธ์แบบ ManyToMany""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
39,10,13,1,1,1/8/13/39/,\N,"ir.actions.act_window,26","{""en_US"": ""Access Rights"", ""th_TH"": ""สิทธิ์การเข้าใช้งาน""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
40,10,11,1,1,1/8/11/40/,\N,"ir.actions.act_window,27","{""en_US"": ""Attachments"", ""th_TH"": ""แนบ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
41,3,13,1,1,1/8/13/41/,\N,"ir.actions.act_window,28","{""en_US"": ""Record Rules"", ""th_TH"": ""กฎการเข้าถึงรายการ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
