id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
593,99,576,1,1,576/593/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
590,0,577,1,1,576/577/590/,\N,"ir.actions.act_window,862","{""en_US"": ""Requests for Quotation"", ""th_TH"": ""ใบแจ้งขอใบเสนอราคา""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
445,1,444,1,1,438/444/445/,\N,\N,"{""en_US"": ""Overall Equipment Effectiveness (OEE)""}",t,2023-06-20 04:10:13.416849,2023-06-20 04:10:13.416849,\N
585,5,584,1,1,576/579/584/585/,\N,"ir.actions.act_window,86","{""en_US"": ""Units of Measure"", ""th_TH"": ""หน่วยวัด""}",f,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
586,10,584,1,1,576/579/584/586/,\N,"ir.actions.act_window,87","{""en_US"": ""Units of Measure Categories"", ""th_TH"": ""หมวดหมู่ของหน่วยวัด""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
446,2,444,1,1,438/444/446/,\N,\N,"{""en_US"": ""Losses Analysis""}",t,2023-06-20 04:10:13.416849,2023-06-20 04:10:13.416849,\N
578,15,577,1,1,576/577/578/,\N,"ir.actions.act_window,274","{""en_US"": ""Vendors"", ""th_TH"": ""ผู้ขาย""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
594,0,593,1,1,576/593/594/,\N,"ir.actions.act_window,872","{""en_US"": ""Purchase"", ""th_TH"": ""สั่งซื้อ""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:53.659728,\N
580,1,579,1,2,576/579/580/,\N,"ir.actions.act_window,169","{""en_US"": ""Vendor Pricelists"", ""th_TH"": ""รายการราคาผู้ขาย""}",t,2023-09-05 08:11:48.159352,2023-09-20 04:14:24.424597,\N
581,2,579,1,2,576/579/581/,\N,\N,"{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2023-09-05 08:11:48.159352,2023-09-20 04:14:24.424597,\N
584,3,579,1,2,576/579/584/,\N,\N,"{""en_US"": ""Units of Measures"", ""th_TH"": ""หน่วยวัด""}",t,2023-09-05 08:11:48.159352,2023-09-20 04:14:24.424597,\N
592,0,579,1,2,576/579/592/,\N,"ir.actions.act_window,869","{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2023-09-05 08:11:48.159352,2023-09-20 04:14:24.424597,\N
628,10,627,1,1,627/628/,\N,\N,"{""en_US"": ""My Approvals"", ""th_TH"": ""การอนุมัติของฉัน""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
630,20,628,1,1,627/628/630/,\N,"ir.actions.act_window,943","{""en_US"": ""My Requests"", ""th_TH"": ""คำร้องขอของฉัน""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
629,10,628,1,1,627/628/629/,\N,"ir.actions.act_window,940","{""en_US"": ""New Request"", ""th_TH"": ""คำร้องขอใหม่""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
638,20,636,1,1,627/634/636/638/,\N,"ir.actions.act_window,160","{""en_US"": ""Product Variants"", ""th_TH"": ""ตัวแปรสินค้า""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
636,30,634,1,1,627/634/636/,\N,\N,"{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
637,10,636,1,1,627/634/636/637/,\N,"ir.actions.act_window,170","{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
407,2,405,1,1,391/398/405/407/,\N,"ir.actions.act_window,603","{""en_US"": ""Employment Types""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
409,100,408,1,1,391/398/408/409/,\N,"ir.actions.act_window,605","{""en_US"": ""On/Offboarding Plans""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
68,3,66,1,1,4/12/66/68/,\N,"ir.actions.act_window,77","{""en_US"": ""Reports"", ""th_TH"": ""รายงาน""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
394,1,393,1,1,391/393/394/,\N,"ir.actions.act_window,610","{""en_US"": ""Employees"", ""th_TH"": ""พนักงาน""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
69,5,13,1,1,4/12/13/69/,\N,"ir.actions.act_window,85","{""en_US"": ""Tours"", ""th_TH"": ""ทัวร์""}",t,2023-06-20 03:55:36.251292,2023-06-20 03:55:36.251292,\N
293,25,144,1,1,292/137/144/293/,\N,"ir.actions.client,453","{""en_US"": ""Reconciliation"", ""th_TH"": ""การกระทบยอด""}",t,2023-06-20 04:05:22.368554,2023-09-05 08:03:50.15137,\N
70,0,4,1,1,4/70/,\N,"ir.actions.act_window,88","{""en_US"": ""General Settings"", ""th_TH"": ""การตั้งค่าทั่วไป""}",t,2023-06-20 04:01:40.866,2023-06-20 04:01:40.866,\N
307,10,304,1,1,292/145/304/307/,\N,"ir.actions.client,473","{""en_US"": ""Journal Report""}",t,2023-06-20 04:05:28.545749,2023-09-05 08:03:57.584349,\N
